u,v,speed,dir_from
-0.9119470444592562,2.5740740949457344,2.730843250384151,160.49170133421666
-0.6055979457768527,2.957658594304865,3.0190218999527936,168.42829815501705
-0.5510670163414696,3.0115900689905337,3.0615926574483905,169.6306142660995
-0.40075635910034185,2.8602980050173668,2.8882365444792932,172.02420820802237
-0.25232627716931433,0.856265750798312,0.892669920037817,163.58069295581987
-0.11956547607075083,1.4492714513431895,1.454195187293102,175.28375593842185
-0.06326716596430006,2.306454235857183,2.307321797321019,178.42874279846535
0.059767815199765345,2.9151880741119385,2.9158006960658724,181.17452589143937
-0.3549815633080222,1.995904293927279,2.027226149398719,169.91511297205219
-0.2921117652546277,2.735666860233654,2.751218358033552,173.90510823427928
-0.2386033535003662,3.422950657931241,3.431256732879884,176.01253766922534
0.07961816408417444,3.533758770335804,3.534655584208644,181.29069735675057
-1.130013184113936,3.0935991460626773,3.2935217431787276,159.9340354311716
-1.0660119923678313,3.2899468161843037,3.458342322731119,162.0465846662862
-1.1828806400299072,3.363610831173984,3.565541253743743,160.62476215433458
-1.020074475895275,2.9951863722367715,3.164125999514857,161.19263135219495
-1.3963776501742275,3.493980190970681,3.762680974624558,158.2157603983947
-1.1925381422042847,2.9858976710926406,3.215234380702051,158.2287187266574
-1.9563892971385606,2.405420129949396,3.1005652845125,140.87766607034544
-1.6216332153840498,2.0900640270926734,2.645385023504831,142.19292562748484
-1.0766760435971345,3.049636905843561,3.2341175860409077,160.55439192555184
-1.057115988297896,3.7085695266723637,3.85629124248648,164.08996649356686
1.0831547542051836,3.129563635045832,3.311705416754119,199.09094586125286
1.5645424452694978,1.7565458796241065,2.3522853760278077,221.69121885445054
-0.2807510711930015,1.0968112512068313,1.1321731690646588,165.6422621475109
-0.2689073302529074,1.5591664314270022,1.5821855495334796,170.2145406378617
-0.15822920474139127,2.082023490558971,2.088027369665555,175.654000974692
0.03864600441672581,2.349007389762185,2.3493252713949024,180.94254841972224
-0.5050016357140107,0.05507755279541015,0.5079962488992981,96.22431151454884
-0.23557561094110663,1.0311149683865632,1.0576832921537045,167.1306918083064
